I1,HP,P1606DN,3729.73,NO,A 1213,,04/02/2011,,Refacciones,1,VNB3D58048
I2,HP,P2055DN,8748.59,NO,A 6731,,04/05/2012,,Facturacion Nuevos,1,CNBJ654592
I3,HP,P2055DN,8748.59,NO,A 6731,,04/05/2012,,Jaime,1,CNBJ654591
I4,HP,LASERJET 400 M401N,4262.16,,,,,,Facturacion Seminuevos,1,PHGDC56813
I5,Konika,,,,,,,,Leo,2,falta
I6,Xerox,Workcentre 3325,6849.28,NO,A 31784,,05/12/2015,,Xerox Administracion,1,LA8664981
I7,Xerox,Workcentre 3325,6849.28,NO,A 31784,,05/12/2015,,Xerox Ventas,4,LA8665013
I8,HP,OFFICEJET PRO 8620,2367.65,,,,12/05/2015,,,,CN4BKDW17N
I9,HP,Pro 8620,2367.65,NO,A 31829,,25/05/2015,,Gustavo,1,CN4CCEK17Y
I10,HP,LASERJET M506,7043.99,,A 39815,,25/01/2016,,,,PHBGQ12606
I11,HP,LASERJET M506,7059.41,,A 42063,,30/03/2016,,Elite Caja,,PHBGQ12696
I12,HP,LASERJET M506,7059.41,,A 43085,,25/04/2016,,Elite Garantias,,PHBGQ03130
I13,HP,M506 DN B/N,7146.27,,A 45240,,07/06/2016,,Elite Ventas,,PHBGQ03131
I14,HP,LASERJET MFP M426dw,4820.76,,A 45240,,07/06/2016,,Elite Seminuevos,,PHB8H9D850
I15,HP,LASERJET M506,7103.71,,A 46531,,18/07/2016,,Elite Servicio,,PHBGR17764
I16,Lexmark,MX410DE,,,A 57064,,,,Lexmark Servicio,,70155PLM0YMMT
I17,HP,LASERJET M1530,6777.01,,,,05/04/2013,,,,CNF8F1M5VV
I18,EPSON,FX-890 EDGE,7741.94,,A 50276,,21/10/2016,,,,NZBY121094
I19,HP,OFFICEJET PRO 8620,2367.65,NO,A 31829,,25/05/2015,,Officejet Cibeles,1,CN4BKDW180
I20,HP,LASERJET MFP M127,,,,,,,,,CNB9G3ZG29
I21,HP,LASERJET PRO MFP M426DW,4820.76,,A 45240,,07/06/2016,,,,PHB8H9D86N
I22,Lexmark,MX410DE,,,A 57184,,,,Lexmark Ventas,,70156PLM17HYC
I23,HP,LASERJET IMPRESOR P3015,,,,,,,Elite Refacciones,,VNBC97F067
I24,HP,LASERJET 3005,4060,,,,02/05/2014,,,,CNJIN20855
I25,EPSON,FX-890,,,,,,,,,E8BY161730
I26,HP,LASERJET P3005,4060,,,,29/04/2014,,,,CNJ1D72638
I27,HP,LASERJET 3005,,,,,,,,,CNJ1P35390
I28,HP,FX-890,,,,,,,,,E8BY298740
I29,HP,FX-890,580,,,,25/05/2012,,,,E8BY347919
I30,HP,LASERJET PRO M1132,3071.83,no,A 1213,,04/02/2011,,,,falta s/n
I31,EPSON,FX-890,,,,,,,,,falta serie
I32,HP,LASERJET PRO MFP M426DW,5041.68,no,A 59862,,05/05/2017,,Cibeles 20,,BRBSK397MZ
I33,HP,LASERJET PRO MFP M426DW,5041.68,no,A 59862,,05/05/2017,,Cibeles 21,,PHB8K3G617
I34,HP,HP LaserJet MFP M127,,,,,,,,,
I35,HP,LASERJET PRO MFP M426DW,4820.76,no,A 45240,,07/06/2016,,,,PHB8H9D86N
I36,No usa impresora,No usa impresora,,,,,,,,,No usa impresora
